HolderAddress,Balance,PendingBalanceUpdate
0x0000000000000000000000000000000000000000,0,Yes
0x0003f46779806fe779e7f30eec95dbdb4d45840b,120.008018,No
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,40,No
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,250.007668,No
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,79.209353,No
0x001b024b98ee862aa01eea595c4c16a0213d2611,502.589836,No
0x002d2715b179d0db3e17cc28317a98f2f65e6884,2058.563163,No
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,831.649255,No
0x002de04d579930686698abab5f48bda0b24fb9fc,4793.622358,No
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,60.000001,No
0x0030ee334630838ea4dee0b4b6ecbc973529031f,500.000007,No
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,298161.8108,No
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,22.204426,No
0x003a85c562730b196f7cba202a2515f2ff855736,150361.769,No
0x003be39433bde975b12411fbc3025d49d813a84f,0.735469,No
0x0051e6e6cde6392c01b4cf6b97d9f5c50ec9817c,100.050189,No
0x005ab5979532d34dc60a4582597464df0b5a7c87,0.034967,No
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,53.000006,No
0x005f16f017aa933bb41965b52848ceb8ee48b171,0.003194,No
0x006d1df30df75bfa607f41b3a4d67d4be51fe910,0.053359,No
0x006f74448baead5563915255c8fbc12fd7f6a5df,17686.17695,No
0x007078c8001b515b14000cc78306072a5dfd55b3,121.803811,No
0x00795ff7870798a332a99c3969406286259dce8f,335.310567,No
0x007c4bb067d9b6afeb4c13415477d396123c4aa3,34527.04043,No
0x00800d9019001aff6e1eba3312e35e9b22d3f058,1956.19461,No
0x008183a11eacc113e85007bd14bfbd6da3f687f9,635.252733,No
0x0082a12e195b8f31660830132e72716225382075,114.913928,No
0x008426fc298852d92a4a2b3607aa384a51c4b65a,0.000645,No
0x00861fefcfef0a542b0a6c90ce1ee575e257a6c7,3596.616427,No
0x008a34511b9808c41237d7568e409141ab10796b,1000.000008,No
0x008ae504ac6c0c89d32009c02b3a92e57fec188b,60.000001,No
0x008af94ec70860b667caec3a2e2de07597db90c6,2000.000016,No
0x008f96aab23e71c98398e6c5dabf2ee2ded9f15d,177.395804,No
0x0090ca7a7e7923d6b67319c268f3eef1b5bd5d3c,105.000001,No
0x0092a80c90069d5a243caa28fff0eddd5c03696d,0.501168,No
0x00983187e18f62a2ac1dcebd63f2e5f50394cc74,2548.003119,No
0x00988fe82c5550c2240c9874d55cbd100cd1a722,1.70E-05,No
0x009b21f6f8273fe12dbc9c8025ca27db7de16b8c,51.485154,No
0x009e8675b19be214d3f620e90c5e0de7a13c3c5a,403858.5172,No
0x009ff94a057c75f661e3e28f89b9b9d84e57fc67,18910.70768,No
0x00a8bec03805bcfaafab1050dbcf90f57982d750,24845.29466,No
0x00aac20f271c4731591cca07913e994d6f1075c0,4123.672454,No
0x00ac60244df04dfc07146f037d14f93320af57c9,1952.557895,No
0x00af05a74080485086d370d9c65d246f0f906528,664.749069,No
0x00bbfa640a4bac8f3650373be8f4bd77f0472101,3466.76564,No
0x00bf2f290d3aef716cd8127acc153c273c23c538,21432.1171,No
0x00c26a3e7117cfe0e4afacff2a1be9e3d2384c6e,2050.043149,No
0x00cfbd5d2e36dd8182318a074cb1f399b608bfec,40,No
0x00d3ecff51b5e5b957c33c5656486ebfd60e58a7,15.28342,No
0x00d5615d3446b1719e6ee0684218891bc5a2100c,361.488147,No
0x00d94da07ea932ed8426e8dfd06615bda49b8022,253.642798,No
0x00e294652292776e4d59f416ef35a73cae0e01dc,7048.644663,No
0x00e839bc0c9a130afe30974914c4b0100756cff4,130161.4764,No
0x00e979f43658ae9cfb838b07d4b3bc70f12b93cb,999.575482,No
0x00eddd42021ba97a37097ad4286b893b206e12bc,387.065354,No
0x00f14df956a8e0b34e0c5bddb6e39dec48ec7baa,500.000007,No
0x00fea8ef6f337ce6aa8b5bb7086ace94dd0434a7,97.588488,No
0x011e6bf0b2fccc01f137cfe776e1b1121f31fbaa,2053.083093,No
0x01214a235c6767040c8fef6bd33519a6c7ad79ae,270399.912,No
0x012916ed48b20433b698cb32b488e52c639a2a66,3531.069318,No
0x012c597fca480b9766d52e4c1e5d4c0940982abe,2.00E-05,No
0x012fefa16a3baad884834385a0988378852d00bc,2.823769,No
0x0133a483873163fc5bc916de39abec8baf85657c,295.18056,No
0x0135249c1897454959da69ac1481df6c1d4023a8,2803.340544,No
0x013bbe7e89333bb26c0959f547adcd77f54ffa80,54018.04521,No
0x0143bd780dab8a7302141c3fdb8ebade1fb56f92,250.139489,No
0x015b0bb1bfad0437647e74776a7d649d2e3adebb,2.80E-05,No
0x0171ed588582d1df472015623dcb426d0a1de431,12104.09031,No
