HolderAddress,Balance,PendingBalanceUpdate
0xb50a98b218968d9d6ec895be6850ab2807b763dc,0.010054475,No
0xa405bb5b1cea47eb4e456cfe82923688bc4acf84,0.863018233,No
0x3bd5e344ac629c9f232f921bafdeeec312deac9b,1.05284024,No
0xa16c34b9b0c2281fb97d998444f9d18101be5300,9.81E-05,No
0x3f01940c87f09a351d422022d61bca0b682755c8,2.97E-06,No
0xf49e51a14f708e57a126855687118f60abf39e7f,6.39E-10,No
0xb03177692d0f731955ea6932cd447c3d016ac73a,4.72E-14,No
0xca19971bc05fc0a8e05b2a6efd8fd7e297040f21,3.59E-12,No
0x294927abc62e69af84bbe2f1cb13606c5571564b,0.001005483,No
0x5935672b6d706d77caffcd62448b9d5e2e154c6b,3.21E-10,No
0x7cae6729198d7013c7c87e11ae0796a727665d6d,0.027256244,No
0x58763ab456f7fcc3267efa1745b4bb4eb33231b9,4.22E-11,No
0xbf5045b97fde4a70da365044e97dde2e16609887,3.08E-11,No
0xc61ff78439116f0bfedcd3bab04ad2847a9fe361,1.28E-10,No
0xccc3ce05b1d1b4e4a72e2052b98b1de8e60593e8,80.20425785,No
0x6c550c18e039e26dd1e6b62dd2ea913bb5ba6ba4,7.78E-11,No
0x1bea1b4b398a0df9f237f1bba6d751f4aea7d611,8.15E-11,No
0x61c7e83df211849ca8323863d322772d87e8d844,1.16E-10,No
0xf6e83e52848114658534ad184d5dff4d02a2918d,7.79E-11,No
0xce9e4c00df7511c91ee8589301b3f777f6a4c0ab,7.08E-11,No
0x6b384bf01e468e3578761232ad77d6619a5d5fc7,1.27E-10,No
0x7318a8b35ba35bf195c048caab79421abad56808,1.17E-10,No
0xcfbb374eef5336c8423a3e22dd4815a8ccbfe517,1.06E-10,No
0xf2018c588824e5ce01d4da63781143c808c1613f,2.25E-10,No
0x9647d5d9c0f4fd8a97eb12b9dd3198e0bb0b1088,1.36E-10,No
0x58c62fb35ea0b936f22cc1680efa3f7b3798712d,111.7603938,No
0x9971aee9c2282347e6ffa1e815129bfe17bd5b28,2.24E-10,No
0x38d9d1b10727bdc523f0efb06cca30e922a96fd6,6.67E-07,No
0x8e551ee9efd11c69bc21bff1f35ee7b12ba1784e,30.08986096,No
0x81b47c0803e94768bdb05b9b00b18d609579dccb,0.304798305,No
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,0.090489888,No
0x9f67cc0d300055895c57f6e11f48529ae1cb6b23,4.59E-08,No
0xa1d38da3ce3ebe5081e7ad8a0ac2ab5d08541de0,8.100998053,No
0x89f684e101e91ae39a4be1a4c7e456b04832bc11,1.25E-07,No
0xdd91a46a859f2ca7dc034cbe048e9b6294da226a,0.020081514,No
0xdf612c887e88f8e87ac0d2aa04ffd91f0556cfc0,119.1886921,No
0x87fc1313880d579039ac48db8b25428ed5f33c4a,8.641821283,No
0x55f6823de9642f47e80ed4845a55aa8430cb4ec6,9.47E-05,No
0x8807aa3bf5fb778affd046364290e89f7bf04826,0.010053204,No
0xf7f7d74ce9fc6626d629c6e90d9aaa359417dcb5,6.216887945,No
0xf11d5c512ad9d37e2e00eddb90fe325b860cf4f0,4.40E-08,No
0xbaaeb7aae88c94d682dd779318c4fe0fc450eb3f,0.805972605,No
0x4a090897f47993c2504144419751d6a91d79abf4,114.6270331,No
0x22b660f6e6a007acea649acd028a8d057c15620c,0.837240431,No
0x1379c74295e3b7b3105f9c6482bdd6573dd8c9cd,0.000104936,No
0x3a6ee0a015ae51c2b034a4d03bf2d0a38e3eed59,7.88E-07,No
0xa6d21c844827c389100c420531e7a93615b357f5,6.28E-08,No
0x42a60d2f2ffa2150c568010a8d425f0aad284fd2,11.80264811,No
0xd4b35b3d7a576834988ec8cb7ff8ff50b5e301cd,1.32E-08,No
0x23e29ced96f818bccefa352b7c1257faede4b7ab,7.09E-08,No
0xfb563b6787fec654f665327c3ea99b3bd340906d,1.37E-08,No
0xbd36bf220ae9aae3076f7d0f7abd6568a81aa944,2.27E-07,No
0x57cd3db9f048a0292a377c0c7d26135781286cf7,5.85E-08,No
0xc95b50ddd3d5573828283a4f037a268df542d261,3.90E-08,No
0xac127fa805b6525afc4d728b5f9ac620db3bdd47,2.93E-08,No
0x755e2da1a72e27b8db621608a4dbf389b0585392,3.90E-08,No
0x7d7d39f226c350364b661af444400e8f9b1300a8,6.82E-08,No
0x49a5492fdfe5acc966dd5f41310dfdfe8daa349c,0.880840802,No
0xf91b2ca8e935b3a617c66b8b85a27909f1503c87,15.45828557,No
0xd4ea6e0c4520672b2cb64827dd5a3f21fabab185,1.92E-07,No
0x534ec9830942f8555c0759a76ad4c8ca31cf0c6a,2.49E-08,No
0xb33a39942c35f884a8ebe5ce1242558a18346bb4,8.95E-09,No
0x3a38ff5d70b83d78080f09fcd7867e0850484be2,1.01E-08,No
0xc0fd8d9d814588e620793dee98776daa3e384dae,1.48E-08,No
0xa630ef0ff8409a377c75aa3cef676a4c3d35c6ac,1.44E-08,No
0xdea3a29bffef425312b5b7520414b6d68e0a12cb,8.46E-09,No
0x09d2dc10dffed095fddaf524bae7fe0b3df82837,1.46E-08,No
0x2a7d165dfb723cea385b9859a40c5465a5573488,1.519312933,No
0x4fabfb321b1b9dafd66fc914658115462dd56ee6,2.51E-08,No
0xa16e938b961e1d19dd488fb3c2218d3673efae2d,3.19E-08,No
0x1ecae8225fbc5d780f359c2689848d0216fd0cde,3.37E-08,No
0xe97009abb69d9b4ac0f404cc0e4e6b286491982a,3.37E-08,No
0x6517347a867c61210cdc9b55df9e0e20c0140cc7,2.23E-08,No
0x49fbb9b7191cdb89048f9afe4011ec4a35ae4193,1.91E-08,No
0xbc577123f5c2399873fedbc2d6891c1767d6bf5d,1.99E-08,No
0x8612b0a8142495397827699a2113b06dace3ae3e,1.65E-08,No
0xecd6f55606c28b3ce9bb0149ec6ff22239c267dd,2.43E-08,No
0xecd92220a2bb59cdf7f3e99c96d215a27fe39a22,2.67E-08,No
0xef01cd22fc3420ea9ee8d8d7ac4c05bf148afffc,2.71E-08,No
0x82106071b5313110e8a58ee5e2068a12c6f8c63e,3.33E-08,No
0x3bb85fe160a75f0edb5548db557e757fc07f795e,2.69E-08,No
0x49a232e033f595b4339b12e11c95cb6080395586,2.60E-08,No
0x64f3fdb0e45bfcd9dc21c9be5ce9e23a50cfe595,1.79E-08,No
0xf65015aa1f0c828404da00c35d7820038304218a,2.39E-08,No
0xe7ac2ba2c83e2999c1710e132a51f196fa13b0e9,3.45E-08,No
0x72762daf02806b159e9f208a603ffe79a5c7944d,4.78E-08,No
0xef8172f9ff252358397a688960ff418d3ef09c04,1.09E-07,No
0x9aac8267f21781fa4f81d198b4c1b9da1ce2d77a,3.98E-08,No
0x165448af883fd7b5581e88c2718265a4d60bffbd,0.071276428,No
0x6bba9d0ee678d6631002108702176b8810b76a4b,8.96E-08,No
0x53dc922e189c01313c49cf07baaef11b41b0d94f,2.92E-08,No
0xfeba285f1f75144df2f8cadc20363c820e074e7d,2.06E-08,No
0x7ea9161578d1c860f3485fac3aa238431126c1e0,1.31E-06,No
0xf2b567d63057aa71e3e9d0631b6a47a8dd85d818,1.62E-08,No
0x2b01d731ec73e610cc1bae6c22ff4ad7e8ac3661,2.98E-08,No
0x9bf4396c868d6f06ce00592a4172e48512dc269e,6.54E-08,No
0xb74eaf389465d4c07b74282f89692390f6daa2c5,1.35E-08,No
0x1dfac628fed5fca505058f42bfdd8ba5db07c7ab,1.88E-08,No
0x7274f8d9652e725a35f65a16493999491a842a1a,3.77E-08,No
0xdb7e0ac425ba91ba14401bd897ad195aa05a912c,2.88E-08,No
0xec9c2418504ad8d67c38324cda7cd32f44e82bdf,4.31E-08,No
0x9a70e41005ca7d85dcd6bf1505302fd83ce94d76,2.57E-08,No
0xd92334499c2c90c0f4416e39495d55de1088fbf3,9.52E-09,No
0xd1690f8959e635daa6b2b02cc28362344790cc76,1.69E-08,No
0x43e93a77b63986707a1ebfb585553d68f3103f48,8.76E-09,No
0xa20907f3d7f572daae471336438e7211a25de751,5.599601021,No
0xa61c2fc79530289dae18272606fdecb0b3fc54bf,1.21E-08,No
0xea482cf7da8dcddb2d2cb280077327b447e6e565,3.72E-08,No
0x0cd4152a58dd35b0adcce1b550eab055fead6f3a,8.17E-09,No
0x3c1d52c48a40dce073f8291c5e88e5b69ddbfdd5,1.19E-08,No
0xe7e3f035cab9cba362190b2af45783dd8d543bbb,1.21E-08,No
0x74d71b2cb87b9ab64f307384219354a289b0ba2c,1.35E-08,No
0xe3dd4a4dedd4db92a042ed009d43cdcb444346fd,1.06E-08,No
0xff111e5013e91f6c8dd7c723975060752a5b2e5a,1.07E-08,No
0xdf66077806b88eb7a8789b64e425b098637e26a5,7.97E-09,No
0xf5e93c43b1a7f3944f25bbfdcd84ab4c32a41d84,1.20E-08,No
0xb909b67f745fc7b019249d710ee37c5e8e1e7857,1.22E-08,No
0xd0b671bb7e65032edcccce1e0c8b9b5b50bb74d8,1.48E-08,No
0xd6e3a43b25f1092f1953b92d40707ac7b20f1684,7.44E-09,No
0x67ccfa4c64e575c09e7460b7b3a2dd64f1802a66,3.95E-09,No
0xf8f7f2404b27cfdb66235e83f27a2d61440bb77d,3.30E-08,No
0x4b6e4494bf1f0fad5589c5ba1102d5c82e354252,7.90E-08,No
0xb38a75cf51ce765e60b1722a9d277e9c6820f9da,1.64E-08,No
0x087e5c0134b912c13386f54446f2f38d5475378c,4.94E-08,No
0xb88f8968a5d97d7913c827951a247b0d1862953d,3.04E-08,No
0xfd4c5bcd97b58d8fd0130d6ae4096b3804bdbc14,4.93E-08,No
0xb6849b8fd4acea7ca48b4e41d60c8b4f804c081f,2.60E-08,No
0xb18bd634b66f02df218e528c1a55697bfa960641,1.96E-08,No
0xea60f344acbe6a0bf7209504cac52506ee10ae74,2.13E-08,No
0x0a8c9a2d417ebf21394becd37fbf8612ff004a0d,1.02E-08,No
0x39edfdc25b6e264a12cf5c485b27ea47f33fd7fc,3.28E-08,No
0x99f53ced591238ae9e05dd910dd79cc81c3673bc,1.18E-08,No
