HolderAddress,Balance,PendingBalanceUpdate
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,2577136.846,No
0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,2552991.948,No
0x0b5a6a15b975fd35f0b301748c8dabd35b50d8c5,2510470.855,No
0xf6a9d3a7f89e5c8bdd18b334f051ad5ef850e48d,2000000.035,No
0xcdf46720bdf30d6bd0912162677c865d4344b0ca,1962997.347,No
0xf2df969f59b2c86e4b230da88918cdebcfc4ccbc,1846130.853,No
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,1642487.177,No
0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,1627000.034,No
0x8aa25ef2c43f0afc214ed7263b6abd189dc18594,1331141.799,No
0xc803698a4be31f0b9035b6eba17623698f3e2f82,1237145.966,No
0x09a028d3ba10b335308578efb6260e04c3012c05,1111940.83,No
0x26f519859f33e530242f9a73e979bed1244b6a30,998101.1752,No
0x741590f7646ee064b3710d95fb3e48bf820f6c53,920041.8607,No
0xd1cad198fa57088c01f2b6a8c64273ef6d1ec085,880002.4892,No
0x0fc4b69958cb2fa320a96d54168b89953a953fbf,752391.5621,No
0x97743c1a30415e8fdf0d1ce07a71c5a385b43a18,591049.7965,No
0x1ffe54e6689e03b88fd17506c802d71d740c7554,553732.2991,No
0x887086e8ef392c07036fce9fce9f4ccf9ef5e55b,507934.0389,No
0x9428e55418755b2f902d3b1f898a871ab5634182,493437.9532,No
0x16466b5001c00c186455a030dedcd3ea0c2dec21,411586.7708,No
0xcbd6b0dee49eea88a3343ff4e5a2423586b4c1d6,400414.9838,No
0x55f6823de9642f47e80ed4845a55aa8430cb4ec6,399443.0433,No
0xd4ee113548dd66913dff6743e9b89e9fca7e4ead,369916.6526,No
0x3477823dc687e24147494b910b367cc85298df8c,367627.4874,No
0x9d0df007ba98e5cc965f5d56d78dd5b7afa1e9b6,364833.1779,No
0x455d7eb74860d0937423b9184f9e8461aa354ebb,360529.117,No
