HolderAddress,Balance,PendingBalanceUpdate
0x0093660a2f58c0c38ce2ce0f894c86f9011478ea,0.00012162,No
0x00e839bc0c9a130afe30974914c4b0100756cff4,2.00E-08,No
0x01894ddf668719ae49d364e6c77d21cfa3926ac6,1.60E-06,No
0x01b27aeaa3b67577609538155d637b08f0779069,0.00017259,No
0x022cf8fcf32a0af972cb723d82e0120b43c79af0,3.28E-06,No
0x02ccbf14d05af1bba1c85c0e4ebe34450b4bc3a1,4.60E-07,No
0x03051aba8bbf9fc5d38ac4554bfae1e84b9dd8ca,1.60E-06,No
0x03188444e0ec5e63d99350baedd479ebcab82f63,0.01600002,No
0x032bb3d64f289e35ec8642c9bf2bdad7d73529d0,1.01E-06,No
0x045a41a9d9cb0fc81cfe1e8f486e5c53a3b3ce8b,0.00101967,No
0x046773a7aa676523f981676b67e9f01719ca9eb3,0.12400348,No
0x047a96ef72d7ee6a3f193bdb92e998fb300265df,0.17422483,No
0x04c873241fe90e09ceaa93cdab3cc5c55ab863cd,6.00E-08,No
0x04fc359e0a815db4ee2498873da41a0143a594aa,1.00E-08,No
0x05ae01015bd81d82e90c0263c5a90a948bef4bb9,0.93200001,No
0x05e5ab383f3c2d423cfd118b83420261ab0990bc,0.01305147,No
0x0684dcf71bf2f5d0cb2c3a4e1f58ec4b3733d5da,1.60E-06,No
0x070360c5b5f61bd72a7418490bf57f6d9d4a45e1,7.00E-08,No
0x07315648f9eba3d9f8b352675aefdfdd055f4891,0.20420005,No
0x07619fbec9132d12f81b8de9e6a82e6de2589765,0.56253796,No
0x078e0c8f65b66e697b5b5402fa579ae67b8b2812,1.76E-06,No
0x085f29857f26dfd4d4b3560b7f2ff2e79871d83d,0.03975226,No
0x08605217bec0f3c5fdd537f0f5991703ddc69a80,0.06525553,No
0x08940c8f946aac34e460f7883b630ce2c7dc8506,0.002,No
0x08cfbd8466d06339ed762222e649ec72ff51f66b,4.70E-07,No
0x096a0a4da27c6b7c8f8bc890671bd6191d38be4f,1.70E-06,No
0x09c739ee270697bbe818b026d22cbe32eb57140a,0.02850441,No
0x0a052c5713693ec4641b786d040a3533ea01ac4c,3.08E-06,No
0x0a9df13e61e3e8c1d50580ff5236fed3eabfa2a6,1.11E-06,No
0x0b3abf8391fabe5f3d504c83363185354e2ae37a,0.29863838,No
0x0b68f2a2fe18fd0ceace275147ed25dfdc685604,3.71E-06,No
0x0b7e06b845e7706a217166ef3b833a53c5897f3d,0.01054574,No
0x0c1e45402b1ec9e05e29f1dc836b5f521d9c047a,0.02963676,No
0x0c2e087db8639c03c6b9cc2ba89ecfbc485dae72,4.00E-08,No
0x0c485f9709163da9c55ce0707a3d3ad836576202,0.10932281,No
0x0c5e86d30f9868d611e14183c9023c9fffddcf4d,0.016,No
0x0cd6d945344dc44d26958bb72c50d18642ea05a5,0.05,No
0x0d1a05882376e32bb9fe9fcf44a8610cff9b74d8,0.00418589,No
0x0d492c9bfd27778ee42270f7e5bbd9b73cf56c49,0.07448191,No
0x0da0782d67cfd5afc11c1fa23c7ac5db677ac19a,0.03842747,No
0x0e2353516eb6208aa84a552b9a1ee5f13edada57,0.05,No
0x0e32114d4f20b8e04cee80f69f96456492639b13,0.00760555,No
0x0e81f7af4698cfe49cf5099a7d1e3e4421d5d1af,39.8542048,No
0x0e839add9caf3db9244c4821046d389ebde46adf,3.41E-06,No
0x0e8567371b7b457ecace04cba9a660190e4a763e,2.02E-05,No
0x0eb7f5dbc73f90f5541624547ee94ab61cbba5ce,0.41500017,No
0x0f13b53d57d827ec488a4141c6e1b3a88fd983ad,8.15E-05,No
0x0f279bb6be5be8cf440470a7f3e3db037f7a9d0e,0.00028,No
0x0f632e4831fac0c41733af40c46045f066cc7837,0.20422718,No
0x102c60ef4d5815a7d9bff6b7b6be34a021d02b8b,0.00088,No
0x104cef51c50a754e4892a1cf2dedd617161da721,1.70E-06,No
0x108a8b7200d044bbbe95bef6f671baec5473e05f,0.4754078,No
0x1107602d51193953cfe4cb8a4b01d846e7e426ab,1.64E-05,No
0x1136e8bd504973283d4497b66d212d0887674a61,8.60E-07,No
0x11a76cfa80f861f2bf6030b5564013623a3d28fb,0.00417204,No
0x11ed64371ea5e6a29f961a75da4ed490cd381bcc,1.60E-06,No
0x1291c69cfbe7744e34dc5a73ce88782b8590117d,0.00250452,No
0x12b267f3108cfef44834ff6bc88acab4957e4093,0.01,No
0x12fc5c6e2a444e2734927f4219ca910e241cece2,8.10E-07,No
0x12ffd3da051feafe38d5420bf08ef112f1dfc7c2,0.004,No
0x136bcd18f5a8bdc7ddc9d1dc99ea115c1494c669,0.00034889,No
0x1379644d7ebe57a6001f8f51fda7b0e6118ffbe4,0.013,No
0x13a9bcf887142f70c53f52df7ccd9a832a72a775,0.3,No
0x13ebbd1d045f7fc2c20a38c25eeec3acc09782dc,2.95E-06,No
0x141e17533e5bf1705363a94245f15ffd9d37d6b1,3.83E-06,No
0x1443b072c65dcd51bf93f9846ceb6d1323789dc0,0.00164978,No
0x14adbaaae6c333d740dfd3f31c70cc82e646b6af,0.028,No
0x15319ff92e41dbdb2e721ce8147c53a26e8bff68,1.00E-08,No
0x15c548d23cfd084a526b905e21a2556294cf1d5b,0.4007265,No
0x160dd1b72b4380662bf80c27a0655be7f2688f15,1.60E-06,No
0x1717a3ab75ebf67bd4bb48008918770b29a3fc83,5.00E-08,No
0x1771168912cfca2bdb1db1933157cb6d8130768b,0.00224033,No
0x197a47f34d8e9f12c79a4b377a5bae455f0a4ad2,1.60E-06,No
0x19a0d0cfc60a317d95080da5a5457d197b21a9a7,1.60E-06,No
0x1a0eedf54eefe9993bfddd77b91d0f6cee9cc4cb,1.60E-06,No
0x1a5c81a9119372dd693768bbcd353bf9d081d291,1.20E-07,No
0x1aa5834b797ac3b21e7c273f23ab29302d1b1e94,5.70E-07,No
0x1ae6912e08bb3e105a4f0a60f666376d3c7af380,0.00020065,No
0x1afbaf2fdfa201857140f09ef79dd568daa5ed97,0.07522347,No
0x1b5c89ca5880cba9ba81f856d7bdb24a4fab1129,0.07134733,No
0x1b927f5f8680b660be3f545a36bffca62628d762,4.00E-08,No
0x1ba2a537a771aa4eac2f18427716557e4e744864,0.01020004,No
0x1c04e89f24e02f728c537db1619e8158a1ef5f92,0.07010148,No
0x1c65dd3a7b749d888c9dbffceb98bd38e7fa1e32,0.02090255,No
0x1cc88b4d07cf67b604ba83eecc8b2c03509bbe82,0.0004483,No
0x1cd52740701389eecaefb4f96c12ad9fca4a4ba0,0.14487251,No
0x1ce99932fd278e00911814dc4bd403e1293d8ed2,0.01184871,No
0x1d54cea7521dc13952dce12d7065419eccf09f92,0.00017485,No
