HolderAddress,Balance,PendingBalanceUpdate
0x7734280a4337f37fbf4651073db7c28c80b339e9,711061.723,No
0x357b7e9acd156c0f930b75c6ae6a42f3d9173042,98689.47438,No
0x616aec7f349b281e2188bd50baf6424b275622bd,5.044173607,No
0xb2709cb1a0a92efc537d230ebfb0d01c37533a3f,0.004874256,No
0xb2969d3429e99e4846e5be4df47d74ba87069e0d,373.6227757,No
0x00fea8ef6f337ce6aa8b5bb7086ace94dd0434a7,131.1389299,No
0x49785ef0229fb23b343be87e1c75788da3de4ec5,333.9174634,No
0xa7258ec040748652576ffb447b228272b87ade4a,45.39275564,No
0x54c1632c049ff4a1e36b81e5d1d8f079cfdb8505,20.10885151,No
0xb357226bf760a1cc9ce6c4731b01595102451b02,358.566385,No
0x91c8c091d0e421e236f9bc14df47588532921100,10000.30764,No
0x0ac2af90eb5ab7ec9901e81500f3045d4273e68e,25146.16526,No
0xdc9111db04ce2db377a3cfab7e6867da17164e1c,351.0923107,No
0x0d3338ceb3e550f843c8c5167b4c4911b63be781,0.000109614,No
0x32261a273f5f85ca07908f80ab58aaf3bad18200,2688.784252,No
0xfa0dce8280fcdf369a4cbfc1830d3302789307a6,86241.53494,No
0x64ed2d64912e45d004a64b0f9f3d759533c395e8,504.1911769,No
0x2294502c563ed984728acfe3f4887e87e3f96af2,3.978285511,No
0xa515be738624462672cc7a4c3e0a3076716d7bee,300481.4398,No
0xb17beaed0825bb1c6a8ffe5ef7e9e317402d9efe,1084.944971,No
0x0a68dc64fb279164364a1cf21b204250b38c2e85,1.70E-06,No
0xf758c69143109bc6ac2f623aff1835907d0e0c8a,1.804367046,No
0x1c2c7823943f204222af5f1104d90c4da5b2baf6,120.5720085,No
0x5ba3e11abf8c93186637847ec590fcd3aa588bd2,2.643773253,No
0x2d23f4c564ecb7ecd00c35dd8ab29fa08a5848c1,266.6087301,No
0x010afb8548a5d1a3a3d62f58ca0a5a1329974206,1.10E-05,No
0xafd71fdd1a526d2e6e3d28f41ed1ccd1d8716617,103.7034964,No
0x89cffb7550a41fd7d49a2ef49935cf7319629716,4.030171761,No
0x23d36de6acf2062df96cb2d7c6462265bff4b4f6,0.376323693,No
0x2a2bab3d5efb14f5b6c5b083544f27cc81109b76,96.41913162,No
0x3a3297881e9904d0463fec7acd9d6d34b915dcb7,8.059620988,No
0x2a3f8ed783ff94fc9b4d87c6b7c6b770bbf063d3,20.14764878,No
0xb608ac392758d7c5abef0eeb2c5b5f7b81039f0c,6.19E-06,No
0xa16c34b9b0c2281fb97d998444f9d18101be5300,0.564392071,No
0x800ed249c34ffc7a104fdc01b13f9913e3344cc9,117.3619973,No
0x2d705e42cc2134c42d89d2c2c7c7a6b103a3ecc8,0.458337344,No
0xf81a414864a72c79595f1a9c166dad506ea264ce,1396.221751,No
0xf1977eb194ae8c337122ecdbc63ff14a34185ae1,0.503649956,No
0x34ddaa417f0f7274ecb74f75c83caa2c9c52eedc,0.004646159,No
0x8628d73d3f950abde99739ef34b6cfa10394f579,0.00291563,No
0xbf6a3cccf78e14d7a062374b6e24e953f7055f2a,1052.881091,No
0xd10e55d87fbdfab548ab2299aa1aa790fd99a0d5,1000.636004,No
0x18537b46065ff799063a73d4701dd78eaca1e7ae,0.000133993,No
0xab2e11c99d8830d5d9b2494a565c974595e39eef,0.00128521,No
0x150acc42e6751776c9e784eff830cb4f35ae98f3,1001.108674,No
0xb5915dc1617dfb09e6463e18109ba005ae3dcffd,358.8193848,No
0x1b7c1ec2d63310bee3ca32341c8462ecdefd8784,92.7700533,No
0xe82e91e05b9b8be0dd60413ce98443633d9f4eba,181.7798335,No
0x45da65dadd054f99461dcf17ac68ab0068efdd8c,10.5131568,No
0x3874f92459af78b8905d202c1b27b028034a6962,6.725304096,No
0xb83ad7d7efe3fc000a6344c73b3e4407a734d1a8,0.000183528,No
0x38702766b7e72a7f2c3909e8cd8de29b81a282f3,0.000581384,No
0xcc9c7497b760b691962bbeb743d45fa964c0d3e1,101.0989664,No
0xc71d291e2e2369fedb3d4fcd079c1e5927150897,137.2026042,No
0x53fda85d6ec54074c95c900104a0a23fe04cbb31,3.55E-05,No
0x89b7f1e791df5e2885b94a7527e53960779aa9a6,2.79E-05,No
0xd92bacd1f0eeb5c9185f2560172937cfdd88b1b5,3.69E-05,No
0xa14329e26ab1aea02a4a3bea75844f5f987b093c,3.51E-05,No
0x94d149653a48d20fb0136c25c47cde31ad3f19e0,9.02E-05,No
0x72ec08faf04c91a7e6516f1ed56764d29ed16a70,0.010197947,No
0x680800f9e4a4bf3d61856beb12f58f0f62c99257,700.0000196,No
0x4a15189a59807e0717d2f85089fa80f6b0cf47b3,2.66E-05,No
0xf184b173857fd709f74dcd87d2ce0e5f81b5e195,2.22E-07,No
0x2592a4b35b16b6f76ba38d644c4234539424a9b8,9.02E-07,No
0xc4ae4b636650514550c327b76f0eec023306c5bd,0.00025567,No
0xdf8951d303821c6d51fca77baec7d8cc16686284,5.32E-07,No
0xdce135c3945e36941a2170ed711b414731429de2,4.62E-07,No
0xf838b4e4fa529624c3c91c65b6b2ee29ec7d082d,6.10E-05,No
0x02eb1a315972d427f890b81fe062aa7aae9bc6bb,1.30E-07,No
0xa583aa9e455c1c4773231c9b285b9f8f4498928b,9.32E-07,No
