HolderAddress,Balance,PendingBalanceUpdate
0x0000000000000000000000000000000000000000,0,Yes
0x00000000003e04625c9001717346dd811ae5eba2,5.00E-08,No
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,0.00136039,No
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,0.00718167,No
0x001f96b7e19a54ae45f451b0148336504d03fdcf,0.00034089,No
0x002de04d579930686698abab5f48bda0b24fb9fc,0.09853914,No
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,30.21036527,No
0x004d71c111862702272e6beccdaafb07c9b96c37,0.00489924,No
0x005ae07a1782019253917d76334a0579ac3a9b64,0.01358589,No
0x005f16f017aa933bb41965b52848ceb8ee48b171,0.01262821,No
0x006f74448baead5563915255c8fbc12fd7f6a5df,3.01814514,No
0x008183a11eacc113e85007bd14bfbd6da3f687f9,0.00588444,No
0x00861fefcfef0a542b0a6c90ce1ee575e257a6c7,0.06698989,No
0x008bddb9cca2d92deee55a50d0f358eaf4b7f076,0.01156382,No
0x009e8675b19be214d3f620e90c5e0de7a13c3c5a,29.43269096,No
0x009ff94a057c75f661e3e28f89b9b9d84e57fc67,0.01629367,No
0x00a09297f06b3790a37cffb2de91a0fccf0d5bac,0.00021997,No
0x00aac20f271c4731591cca07913e994d6f1075c0,0.86711571,No
0x00ab84845d68063c1dcd2a5f2cead5f253b249a2,0.00309512,No
0x00af05a74080485086d370d9c65d246f0f906528,0.00421794,No
0x00bdc8be263d20bb3a83aaeadfef258dd409e2df,0.05451739,No
0x00bf2f290d3aef716cd8127acc153c273c23c538,0.29217862,No
0x00c2e5aa91c2b6927a4e8533482c8217b450a6a1,1.00E-08,No
0x00d94da07ea932ed8426e8dfd06615bda49b8022,0.0245087,No
0x00dd72466c9bc28c9765b406ea147c1e15dbc7ab,0.02141544,No
0x00e979f43658ae9cfb838b07d4b3bc70f12b93cb,0.1121537,No
0x00ef17fb802141f4a12026c4492bafc43d8ab85e,0.00015125,No
0x00f3fb9d81506fe69f504fa12325d1559280d635,0.00036428,No
0x010d23b534006f4e4f174a7530d7d9e3c131732a,0.02608353,No
0x0116fdba1f1dc87f91fcafe2fb365ca829cee686,2.99856144,No
0x011b042a0573972f547b885c86279291b04c6020,0.09386677,No
0x01213e995cd6272ebbb929311b50787296f25600,0.05099317,No
0x01222a114552e89e4c548170f8c1f4d5460d255a,0.04917963,No
0x012ced3e78c1a70e156537e580f6fed3954b2e84,0.00026929,No
0x013c270b6c893ed986ff69eef37ca5a1c1e59dff,0.00028332,No
0x01485be0b99f0c1949b6c4f1f70affdc39acb154,2.90E-07,No
0x01784fd2a696eec23f901b9a5d9762d5e8d10af3,2.32312531,No
0x0178e892ccb5ab71c7b1727fe7e50f317b0494b1,0.04593112,No
0x017c536b11211d47ff4752c141f1e62ea16a4a5d,0.33607174,No
0x0194d076503771b976a062c4cde310b13d3e9960,1.75615482,No
0x01a580e1370e798c48abda6b2f605035f2127d5c,0.00836576,No
0x01b5b2eec95743ff4401a55b06db72bdf6afa0e1,0.00860776,No
0x01c5c4ca74a665e40e96ed8ff221500b6366b8a6,1,No
0x01d4de1128e47b400187cd81a5cfae97a6e55bf1,3.02E-05,No
0x01f562afdd11c353a9b56028b2a34d2bbbde4b14,0.8008261,No
0x020265bc7ecc8b018c496f8bc4c6aa3ed1784e5a,0.54716585,No
0x0216d1f961318aba2cbfadf65351ba4690357626,0.001328,No
0x022131eacc4208eaf3e3b7cda7f17b267f529127,3.84E-06,No
0x0224b2311d5968fa00a42103788b2f4ccd0651ad,0.04982083,No
0x0224c4b1947b01be8f3c0629a65a05a59174905a,0.02017734,No
0x022b755d4b5db88a2c32499fa667904fbe24c928,0.21705889,No
0x022cf8fcf32a0af972cb723d82e0120b43c79af0,6.82E-06,No
0x02349bc43d584a0f18fef86627d22eb4f362454b,0.00833623,No
0x0249bea8bd7820ce8c8f122dc48ca1a2adda1ca6,1.99208362,No
0x024e14fa72c351f132475f297f64521a7fae286a,0.39654911,No
0x02608d35121db289427f6fd4fa53e93b5cae0bdf,0.00018244,No
0x027011c0fd7e86ab7fcab831b204fddfb6af2ed7,0.10607015,No
0x027cedb5d69afdd68ce27cf58dd6d05a72edc4f6,0.15467467,No
0x028e7eefc575b3113dc5aca8ff3177e330e0219d,5.69E-06,No
0x029f19fc5a2425a4f04c3e1f6855af0afbcc3c93,0.00700026,No
0x02b72485ecdaabd5f9af68d9a5d2b2ca54d5339b,0.127,No
0x02bcb5d5a59ec3350ec2bed6c7ffcd5d566d9574,2.00E-08,No
0x02c3b69b7588c4d117ea0eb4d7ba809f9613f470,0.01104199,No
0x02debfb86afb43492c458869bd7904a897f08237,0.00378486,No
0x02eca8cc78b7d30c1ac5e16988ed2c8a9da658d6,85.2877937,No
0x02faf4316dcb9330751f3677436aa849aa93851b,0.28220656,No
0x03188444e0ec5e63d99350baedd479ebcab82f63,0.0166952,No
0x03205689ad8d8e3838e244f925cf888275ac01c6,0.02031543,No
0x032bb3d64f289e35ec8642c9bf2bdad7d73529d0,1.00E-06,No
0x032c56e52d2cd8be4256cba3c631931d1e3b07cb,0.00618441,No
0x0339928b90de16e4fb37de38acbbbe9449ff756a,5.52E-05,No
0x03402343d6192caec409b0570cf59905969adc2a,0.00761219,No
0x034b2fd624f4895fc932ed31ed63d8be06b82c08,6.07665441,No
0x0351b0b81fdd1db5dad0617d97c598cd3c37baaf,0.00651682,No
0x0351c5599f6d7a0306c02e5c5b3b76f789b395a0,50.04729378,No
0x035d5e9aef9c24c42764a90b1ef6207d22fda0e7,3.05002945,No
