HolderAddress,Balance,PendingBalanceUpdate
0x0044f0ab1281b2bc850bfa39123dec1e8e09001d,0.10300036,No
0x0093660a2f58c0c38ce2ce0f894c86f9011478ea,0.00130538,No
0x00c844967b2ab4c5ac26f44dcbffa7c06897e18e,0.04505273,No
0x011b042a0573972f547b885c86279291b04c6020,0.02536397,No
0x01894ddf668719ae49d364e6c77d21cfa3926ac6,4.00E-07,No
0x01b27aeaa3b67577609538155d637b08f0779069,0.00017259,No
0x022cf8fcf32a0af972cb723d82e0120b43c79af0,3.28E-06,No
0x02b72485ecdaabd5f9af68d9a5d2b2ca54d5339b,0.06,No
0x02c3b69b7588c4d117ea0eb4d7ba809f9613f470,0.01071047,No
0x02ccbf14d05af1bba1c85c0e4ebe34450b4bc3a1,4.60E-07,No
0x03051aba8bbf9fc5d38ac4554bfae1e84b9dd8ca,8.00E-07,No
0x030adc0b63a946d3c161f49c8f4d25a526b903b7,0.00864429,No
0x032bb3d64f289e35ec8642c9bf2bdad7d73529d0,1.01E-06,No
0x036808e8efef543ac49c40a2b6d98f8f36798a91,0.3126641,No
0x045a41a9d9cb0fc81cfe1e8f486e5c53a3b3ce8b,0.00251876,No
0x047a96ef72d7ee6a3f193bdb92e998fb300265df,1.23457534,No
0x04b5c5d08ddef275535c5a95a62f803fc1cd3dba,0.03,No
0x04c873241fe90e09ceaa93cdab3cc5c55ab863cd,6.00E-08,No
0x04fc359e0a815db4ee2498873da41a0143a594aa,1.00E-08,No
0x0524e7c0c1ae860b58089c747544db7393a0e5d9,0.00055701,No
0x05e5ab383f3c2d423cfd118b83420261ab0990bc,0.00696834,No
0x0684dcf71bf2f5d0cb2c3a4e1f58ec4b3733d5da,3.90E-07,No
0x068e112c85a71bf498150ad0b05bef0f47e6a6ab,0.04115161,No
0x06b5b0354f6caf1b1b67b090d9f95c3030c89286,0.018,No
0x070360c5b5f61bd72a7418490bf57f6d9d4a45e1,7.00E-08,No
0x07315648f9eba3d9f8b352675aefdfdd055f4891,0.20420005,No
0x074684b87cab929e84b179d2fe23d8e982fefd1c,0.0003,No
0x07619fbec9132d12f81b8de9e6a82e6de2589765,0.07352556,No
0x078e0c8f65b66e697b5b5402fa579ae67b8b2812,1.76E-06,No
0x07efafc95a0fb31a6216300182350712cd1ab333,1.91200443,No
0x085ef0df0970478fa1434bc6241ed8f77a1ca2e0,0.0067288,No
0x085f29857f26dfd4d4b3560b7f2ff2e79871d83d,0.03975226,No
0x08940c8f946aac34e460f7883b630ce2c7dc8506,0.002,No
0x08cfbd8466d06339ed762222e649ec72ff51f66b,4.70E-07,No
0x096a0a4da27c6b7c8f8bc890671bd6191d38be4f,8.50E-07,No
0x09c739ee270697bbe818b026d22cbe32eb57140a,0.04050349,No
0x09da980e4ad37e340183eb71d76dc1effb4dd1ca,0.00087157,No
0x0a052c5713693ec4641b786d040a3533ea01ac4c,3.08E-06,No
0x0a43af1dda5f27299ec4e86bb1af5302a43291b1,0.03001852,No
0x0a9df13e61e3e8c1d50580ff5236fed3eabfa2a6,1.11E-06,No
0x0b68f2a2fe18fd0ceace275147ed25dfdc685604,3.71E-06,No
0x0b6b6b2850bb8929d831006ff38d61e68cd79420,0.05,No
0x0b7e06b845e7706a217166ef3b833a53c5897f3d,0.00035196,No
0x0b8891301f3c512eeb59918ea5de3e8823059949,0.00741891,No
0x0be5149120375a4b5ba59352d55173c9b0283c3d,0.00080813,No
0x0c1e45402b1ec9e05e29f1dc836b5f521d9c047a,0.02900662,No
0x0c2e087db8639c03c6b9cc2ba89ecfbc485dae72,4.00E-08,No
0x0c485f9709163da9c55ce0707a3d3ad836576202,0.00305334,No
0x0c5e86d30f9868d611e14183c9023c9fffddcf4d,0.016,No
0x0cb556aebe39b3c9ef5cbe8b668e925db10a2d7d,0.49382966,No
0x0cd6d945344dc44d26958bb72c50d18642ea05a5,0.15286943,No
0x0d1a05882376e32bb9fe9fcf44a8610cff9b74d8,1.94E-05,No
0x0d492c9bfd27778ee42270f7e5bbd9b73cf56c49,0.10768392,No
0x0dcd7b66be110d19c72a4ba6740697fc73bad170,0.047,No
0x0de3a50c072dd32ce67f6e8a7b8e655fdeca0127,0.00200001,No
0x0e2353516eb6208aa84a552b9a1ee5f13edada57,0.06546052,No
0x0e24b6e3beff0b44b773f068343bc2cb56cb3769,2.70E-06,No
0x0e32114d4f20b8e04cee80f69f96456492639b13,0.00760555,No
0x0e839add9caf3db9244c4821046d389ebde46adf,3.41E-06,No
0x0f4e57d4b756746006c0ae8d3055a2388e4b1c7e,0.05,No
0x0f632e4831fac0c41733af40c46045f066cc7837,0.10226421,No
0x102804dc904e575a75ea107f066ec90d71221f8d,0.00313967,No
0x10378bc8b3b3d4b2818cc0dc66679340c940f400,0.00587301,No
0x104cef51c50a754e4892a1cf2dedd617161da721,4.70E-07,No
0x10ce9c96a2f0102c22055982ecf8f393e3534b16,0.05,No
0x111740f849d969c4f57bfc2d9d7f91319f27c4e4,0.03787432,No
0x1136e8bd504973283d4497b66d212d0887674a61,8.60E-07,No
0x11519851424b9bbdae848ff9cb910424b06035ec,0.00678524,No
0x11a76cfa80f861f2bf6030b5564013623a3d28fb,0.00417204,No
0x11d272524e5d104c317c94b241fcc842b09aa5a9,0.01,No
0x11ed64371ea5e6a29f961a75da4ed490cd381bcc,3.90E-07,No
0x1291c69cfbe7744e34dc5a73ce88782b8590117d,0.00250452,No
0x12b267f3108cfef44834ff6bc88acab4957e4093,0.01,No
0x12fc5c6e2a444e2734927f4219ca910e241cece2,4.00E-07,No
0x13546e2b86177b0b2891115f8909fed66029250f,0.00069554,No
0x136499a6afb3d429998674d54cf6965f710b88cc,0.015,No
0x136bcd18f5a8bdc7ddc9d1dc99ea115c1494c669,3.00E-08,No
0x139d602458a7aaf3243bc9ac9d09cc9b18da5fcd,0.06,No
0x13a9bcf887142f70c53f52df7ccd9a832a72a775,0.52974285,No
0x13ebbd1d045f7fc2c20a38c25eeec3acc09782dc,2.95E-06,No
0x141e17533e5bf1705363a94245f15ffd9d37d6b1,3.83E-06,No
0x1443b072c65dcd51bf93f9846ceb6d1323789dc0,0.00164978,No
0x1454d4e496b300e2e397005f969382d3fc5c2b0b,0.0027792,No
0x147d330b8cf23a559749b66f522ed512597715d9,0.00138999,No
0x15319ff92e41dbdb2e721ce8147c53a26e8bff68,1.00E-08,No
0x15bf5f76231c2d850c2e32d05321329dd5ea7902,0.14301774,No
0x160dd1b72b4380662bf80c27a0655be7f2688f15,3.90E-07,No
0x16a13c9afb0ba429c6d93248933dcd7df3c47078,0.0107008,No
0x16b259cf2abd95f9d654a8c1fcb582c59ff1cad4,0.002,No
0x1717a3ab75ebf67bd4bb48008918770b29a3fc83,5.00E-08,No
0x176e2042a510d00aa69aa02e5f24d438cc6d8ab2,1.00E-08,No
0x183a48331b4ee0d2253d7d23a4b1cbc10075b5ae,3.52E-05,No
0x189e08706005032de75245ca5cc5ed9c418a235a,0.0034,No
0x197a47f34d8e9f12c79a4b377a5bae455f0a4ad2,8.00E-07,No
0x199be825fa1d5f346f41956da42bd3479055c5a6,4.28E-06,No
0x19a0d0cfc60a317d95080da5a5457d197b21a9a7,8.00E-07,No
0x1a0eedf54eefe9993bfddd77b91d0f6cee9cc4cb,3.90E-07,No
0x1a7f9fbf4c69a5c4e05b5294c4f078111f6b602f,0.00421406,No
0x1aa5834b797ac3b21e7c273f23ab29302d1b1e94,5.70E-07,No
0x1b366f42d0478aff04c77105b4e994fa574dadca,0.3,No
0x1b5c89ca5880cba9ba81f856d7bdb24a4fab1129,0.10347665,No
0x1b927f5f8680b660be3f545a36bffca62628d762,4.00E-08,No
0x1ba2a537a771aa4eac2f18427716557e4e744864,0.00538065,No
0x1be9f11943eb74f7ea83c3bc4e5fbb4838a51d17,0.03672001,No
0x1bf86496a7351adddaf62c462ea14b87881c1bf7,0.14142284,No
0x1c04e89f24e02f728c537db1619e8158a1ef5f92,0.07010148,No
0x1c2cffa90b24d168e9ae8f3a237bf6696cff481c,3.30010915,No
0x1c4d101e526081efa27e50f62e2adfd0df7f4c22,0.003,No
0x1c5124d9d2e8b7a2ded848f563d77411445e87ce,0.00057447,No
0x1c65dd3a7b749d888c9dbffceb98bd38e7fa1e32,0.02090255,No
0x1cb733be5a73e2c133158963b0c7fd6e914eca04,0.07153249,No
0x1cc88b4d07cf67b604ba83eecc8b2c03509bbe82,0.0004483,No
0x1ce99932fd278e00911814dc4bd403e1293d8ed2,0.00994857,No
0x1d13bac26f5e81ba836c9c8b110b10aa20dfb8e8,0.9566071,No
0x1d54cea7521dc13952dce12d7065419eccf09f92,9.39E-05,No
0x1dc846c79b1aa953846f59e44ea0e94ea8fbbcd5,0.003,No
0x1deac6c507331017693c46dfb219ff2cbab60d1e,4.00E-07,No
0x1e2ed08ca170e6ba3818757062e84f5da03d0c88,0.07506469,No
0x1e313878498b9cd2c04f6594a2a288374953e93c,0.005,No
0x1ecb4d455aa1562e3f1c1ba8f9e38a3859032961,0.1,No
